id,question,gold_intent,gold_document,resolved_kb_doc,gold_chunk_id,expected_answer,must_include,must_not_include,difficulty,category,retrieval_success,generation_success
1,제가 4학년 마지막 학기인데 졸업 필수 과목이 정원 마감돼서 신청을 못 했습니다. 어떻게 해야 하나요?,수강신청 정원 외 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_0,"수강신청은 선착순 마감이 원칙이나, 졸업 등 부득이한 사유가 있는 경우 해당 학부(과) 사무실에 문의하여 조치를 받아야 합니다.",졸업 / 학부(과) 사무실,휴학 / 자퇴,Medium,수강신청,O,O
2,수강신청 당일 서버가 안 돼서 접속을 못 했는데 추가 신청 방법이 있나요?,수강신청 기간 외 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"안내된 기간 외에는 추가 신청이 불가능하므로, 3월 4일부터 6일까지 진행되는 수강신청 확인 및 정정 기간을 활용해야 합니다.",정정 기간 / 추가 신청,폐강 / 전과,Easy,수강신청,O,X
3,교수님께 허락받았는데 시스템에서는 신청이 안 됩니다.,수강신청 시스템 등록,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_28,"수강신청은 반드시 학생 본인이 직접 시스템에서 신청 버튼을 눌러야 완료되며, 교수님의 구두 허락만으로는 학점 인정이 되지 않습니다.",직접 신청 / 시스템,수동 등록,Medium,수강신청,O,O
4,이번 학기 18학점 신청했는데 21학점까지 들어야 졸업 가능합니다. 추가 신청 가능한가요?,최대 신청 학점 초과,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_3,"2023학번 이후 기준으로 직전 학기 평점 4.0 이상인 경우 21학점까지 가능하며, OCU 과목은 최대 학점에서 3학점 초과 신청이 가능합니다.",4.0 이상 / 21학점,학사경고,Hard,수강신청,O,O
5,필수 과목이 오전 9시인데 같은 시간에 복수전공 필수 과목도 있습니다. 둘 다 인정받을 방법이 있나요?,수업 시간 중복,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_3,원칙적으로 수업 시간 중복 신청은 불가합니다. 모듈 강좌의 경우 시스템 필터가 작동하지 않을 수 있으나 본인이 중복되지 않게 유의해야 합니다.,중복 불가 / 시간표,공인결석,Medium,수강신청,O,X
6,제가 3학년인데 1학년 전공 기초를 안 들어서 지금 신청하려고 합니다. 가능한가요?,타학년 교과목 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"네, 가능합니다. 수강신청 4일 차인 전 학년 대상일(2월 12일)이나 수강신청 정정 기간에 전체 과목을 신청할 수 있습니다.",전 학년 / 신청 가능,신입생 전용,Easy,수강신청,O,X
7,F 받은 과목을 재수강하면 기존 성적은 완전히 없어지나요?,재수강 성적 처리,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_29,재수강 시 이전 취득 성적은 수업일수 3/4선 시점(2026년 5월 19일)에 시스템상에서 자동으로 취소되어 삭제됩니다.,3/4선 / 성적 취소,부분 포기,Medium,수강신청,O,X
8,재수강하려고 했는데 과목명이 바뀌었습니다. 인정되나요?,동일/대체 과목 재수강,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_12,과목명이 바뀌었더라도 교육과정상 지정된 대체/동일과목인 경우 재수강으로 인정되므로 미리 확인 후 신청해야 합니다.,대체과목 / 동일과목,이수구분 변경,Medium,수강신청,O,X
9,폐강된 과목 때문에 이번 학기 학점이 부족해질 것 같습니다.,폐강 후속 조치,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,폐강된 경우 수강신청 확인 및 정정 기간에 다른 과목을 추가로 신청하여 부족한 학점을 보충해야 합니다.,정정 기간 / 추가 신청,수강 취소,Easy,수강신청,O,X
10,다른 학과 수업인데 제 진로와 관련 있어서 듣고 싶습니다.,타과 전공 수강,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"수강신청 4일 차에 '타과전공(자유선택)'으로 검색하여 신청할 수 있으며, 이 경우 자유선택 학점으로 인정됩니다.",타과전공 / 자유선택,전공필수,Easy,수강신청,O,X
